layer,head,delta_loss
2,5,1.4480421543121338
1,1,0.4677183926105499
3,0,0.40846967697143555
0,6,0.35549408197402954
1,0,0.3106847405433655
5,7,0.2695331573486328
1,3,0.24215282499790192
3,5,0.18535876274108887
2,7,0.16838297247886658
2,6,0.16401171684265137
2,3,0.1638685166835785
5,3,0.16364651918411255
1,6,0.16165858507156372
3,4,0.1540856659412384
5,6,0.1524401605129242
4,1,0.14674267172813416
3,6,0.14423322677612305
1,4,0.12026195228099823
4,0,0.11942700296640396
3,2,0.11905486136674881
3,7,0.1015392616391182
4,3,0.09508475661277771
3,1,0.08762497454881668
3,3,0.056527458131313324
5,1,0.05237549543380737
2,1,0.052044741809368134
4,2,0.05083649605512619
4,7,0.04233554005622864
5,0,0.04130404442548752
5,5,0.03108077496290207
1,7,0.02484704554080963
4,4,0.021388724446296692
5,4,0.01586011052131653
4,5,0.013180673122406006
4,6,0.007735557854175568
5,2,0.00414518266916275
1,5,-0.0002617165446281433
2,4,-0.03123890608549118
2,0,-0.03585777431726456
2,2,-0.1422809362411499
0,1,-0.15035393834114075
0,5,-0.3785538673400879
0,3,-0.5953924059867859
1,2,-0.6425015926361084
0,2,-1.318339228630066
0,0,-2.066359281539917
0,4,-2.337327480316162
0,7,-2.8061349391937256
